name;long;lat;waterLevel;elevation;depth
EM_01;18,553392;-34,07027;14,4;20,358;63
EM_27;18,574777;-34,068709;16,196;19,966;48
EM_29;18,613985;-34,053271;18,766;25,477;39
EM_20;18,654089;-34,045177;20,102;36,502;45
EM_23;18,643495;-34,037468;22,915;32,715;33
EM_13;18,637267;-34,029194;25,516;29,716;33
EM-14;18,625365;-34,018362;31,427;33,027;27
CR18_1;18,598339;-33,99808;40,1;41;27
EM_22;18,590851;-34,015547;33,85;34,85;37
EM_34;18,570416;-33,990289;23,586;25,286;26
EM_08;18,544216;-34,011639;15,641;23,641;39
EM_26;18,554907;-34,02503;13,625;25,265;45
EM_25;18,534827;-34,009965;15,923;17,423;30
EM_31;18,536632;-33,990979;16,196;19,196;38
EM_40;18,60792;-33,954593;45,855;48,255;39
EM_09;18,571779;-33,964072;26,864;28,364;39
EM_32;18,533084;-33,978552;15,533;18,733;33
EM_33;18,543738;-33,971887;12,81;14,21;35
MON_13;18,522976;-33,957742;6,118;7,118;14
HCHC_01;18,54919;-33,96706;17;18;23
EM_10;18,580897;-33,959791;33,143;34,143;42
EM_21;18,611813;-33,951655;47,373;49,873;41
KB7_2;18,60739;-33,89044;105,8;130;102
BCH_BH1;18,486167;-33,900972;8,4;11;40
MMH_02;18,474124;-33,949002;10;20;60,46
MON_BH3;18,475062;-33,970818;4;13,6;25
MON_BH4;18,451055;-33,97747;53,4;58;52
G2N0604;18,64312;-33,902;73;80;42
MS01;18,48111;-34,00573;27,75;28;55
RCHC;18,480732;-34,057853;6,52;10,6;94
DPMH-04;18,4615;-34,06121;7,59;12,3;43,4
MON_03;18,616952;-33,938935;69,403;53,503;51
MON_BH10;18,56193;-33,94168;26,5;29,3;35,1
G2N0614;18,54654;-34,08362;13,6;20,1;27
